"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"CITTADELLA",6.5,19.2142857142857,-2.07142857142857,-4.92857142857143,-2.78571428571428,-5.78571428571428,7.64285714285715,2.64285714285715,-4.07142857142857,1.92857142857143,23.6428571428571,24.6428571428571,-4.35714285714286,2.5,-1.07142857142857,-11.7857142857143,-8.21428571428572,-18.5,-11.6428571428571,-15.5,-2.07142857142857,-14.0714285714286,-1.64285714285714,0.642857142857142,-7.64285714285714,-9.92857142857143,-7.5,-16.2142857142857,-8.64285714285714,-16.6428571428571,-13.3571428571429,-11.6428571428571,-16.5,-12.3333333333333,-4.5,-11.2142857142857,-10.0714285714286,13.1666666666667,9.5,4.92857142857143,22.0714285714286,21.2142857142857,-0.642857142857142,33.8333333333333,8.35714285714285,-7.07142857142857,14.9285714285714,26.3333333333333,-7.92857142857143,16.6428571428571,10.3571428571429,-0.357142857142858
"MONTEBELLO",13.6064102564103,29.9778388278388,2.57307692307692,2.97783882783882,1.97783882783882,-0.736446886446892,15.120695970696,7.40641025641025,-0.4507326007326,8.83498168498168,34.5492673992674,23.9778388278388,-8.99358974358974,7.5492673992674,0.120695970695969,-13.7364468864469,-6.87930402930403,-19.3078754578755,-12.5935897435897,-19.1650183150183,-7.16501831501832,-17.1650183150183,-18.0935897435897,-11.5935897435897,-8.76025641025641,-10.7364468864469,-10.1650183150183,-16.879304029304,-10.7364468864469,-14.7364468864469,-13.4507326007326,-11.1650183150183,-16.3078754578755,-11.5935897435897,-4.02216117216117,-8.73644688644689,-7.02216117216117,11.4064102564103,4.83498168498168,8.69212454212454,25.7397435897436,17.4064102564103,-4.09358974358975,25.120695970696,4.5492673992674,-9.02216117216117,11.120695970696,13.8064102564103,-10.1650183150183,10.7397435897436,12.4064102564103,8.97783882783882
"SARAGAT",10.2901098901099,20.4043956043956,2.54725274725275,0.490109890109892,-2.02417582417582,-3.45274725274725,8.40439560439561,0.690109890109891,-1.02417582417582,0.261538461538464,27.4043956043956,27.5472527472527,-3.59560439560439,4.69010989010989,-0.809890109890109,-10.167032967033,-7.88131868131868,-15.3098901098901,-10.1432234432234,-16.4527472527473,-7.16703296703297,-15.167032967033,-7.73846153846154,-5.16703296703297,-8.64322344322344,-9.02417582417582,-10.3098901098901,-13.3098901098901,-9.45274725274725,-12.7384615384615,-11.4527472527473,-9.59560439560439,-7.97655677655678,-11.3098901098901,-4.73846153846154,-8.30989010989011,-9.30989010989011,3.83296703296703,4.69010989010989,3.26153846153846,15.8567765567766,13.832967032967,-5.64322344322344,33.4043956043956,8.54725274725275,-2.88131868131868,12.5472527472527,22.6901098901099,-6.16703296703297,13.6901098901099,8.69010989010989,3.19010989010989
"BOGOLESE",9.33360805860806,19.2478937728938,2.6764652014652,-1.18067765567766,-2.46639194139194,-3.46639194139194,7.81932234432234,3.10503663003663,-0.752106227106225,1.10503663003663,25.2478937728938,23.2478937728938,-4.03782051282051,3.03360805860806,-2.03782051282051,-10.3235347985348,-6.60924908424908,-15.4663919413919,-11.0378205128205,-16.0378205128205,-6.3235347985348,-14.0378205128205,-8.3235347985348,-5.03782051282051,-6.46639194139194,-6.96639194139194,-7.3235347985348,-11.7521062271062,-7.60924908424908,-11.1806776556777,-10.3235347985348,-8.75210622710622,-12.7521062271062,-9.18067765567766,-3.60924908424908,-7.3235347985348,-5.03782051282051,5.6764652014652,0.819322344322345,2.39075091575092,12.8669413919414,16.5336080586081,-2.60924908424908,28.2478937728938,7.10503663003663,-4.75210622710622,11.6764652014652,24.1050366300366,-6.18067765567766,15.5336080586081,7.3669413919414,1.81932234432234
"PARADIGNA",6.65265567765568,18.4526556776557,1.45265567765568,-1.54734432234432,-2.40448717948718,-4.54734432234432,7.30979853479853,2.16694139194139,-0.833058608058607,0.0240842490842503,24.1669413919414,23.0240842490842,-3.97591575091575,3.8812271062271,-2.54734432234432,-8.69020146520146,-6.97591575091575,-14.6902014652015,-10.1187728937729,-14.9759157509158,-5.83305860805861,-13.6902014652015,-8.40448717948718,-4.26163003663004,-6.83305860805861,-7.04734432234432,-8.38067765567765,-11.8330586080586,-7.54734432234432,-11.4044871794872,-9.97591575091575,-8.38067765567765,-12.6902014652015,-8.69020146520146,-3.26163003663004,-6.97591575091575,-6.83305860805861,9.45265567765568,4.59551282051282,3.11932234432235,18.0240842490842,17.0240842490842,0.309798534798535,25.5955128205128,6.45265567765568,-4.83305860805861,12.0240842490842,22.8812271062271,-5.40448717948718,14.1669413919414,1.78598901098901,1.02408424908425
"CASTELLARANO",16.8082875457875,7.0654304029304,3.35114468864469,-4.79171245421245,0.779716117216118,-4.64885531135531,7.20828754578755,7.92257326007326,-2.9345695970696,0.636858974358972,19.4082875457875,15.0654304029304,-1.64885531135531,5.35114468864469,-1.64885531135531,-10.7917124542125,-6.50599816849817,-15.2917124542125,-10.4583791208791,-12.7917124542125,-1.36314102564103,-11.6488553113553,-7.9345695970696,-4.36314102564103,-7.50599816849817,-8.36314102564103,-7.22028388278388,-12.6488553113553,-7.79171245421245,-11.0774267399267,-10.7917124542125,-8.9345695970696,-10.363141025641,-10.5059981684982,-5.22028388278388,-7.79171245421245,-7.9345695970696,2.20828754578755,-0.934569597069597,-3.9345695970696,21.9225732600733,7.77971611721612,-2.54171245421245,18.3511446886447,-0.934569597069597,-0.50599816849817,15.7797161172161,27.636858974359,3.77971611721612,17.4940018315018,16.636858974359,6.63685897435897
"S. LAZZARO",9.57152014652015,13.5143772893773,0.0858058608058627,-2.34276556776557,-4.05705128205128,-4.42847985347985,8.80009157509158,1.94294871794872,-2.48562271062271,-2.05705128205128,24.7715201465201,21.0858058608059,-4.91419413919414,2.37152014652015,-2.91419413919414,-10.1999084249084,-4.77133699633699,-14.6284798534799,-7.77133699633699,-15.0570512820513,-3.34276556776557,-12.3427655677656,-6.77133699633699,-3.34276556776557,-7.91419413919414,-6.77133699633699,-5.77133699633699,-11.0570512820513,-6.48562271062271,-10.771336996337,-10.0570512820513,-7.62847985347985,-11.1999084249084,-8.91419413919414,-2.48562271062271,-7.46181318681318,-6.77133699633699,8.37152014652015,5.87152014652015,4.65723443223443,20.0858058608059,12.8715201465201,-0.628479853479853,27.8000915750916,4.80009157509157,-5.05705128205128,10.6572344322344,21.6572344322344,-8.05705128205128,14.0858058608059,6.51437728937729,-1.05705128205128
"FEBBIO",-3.72724358974359,-2.69867216117216,-6.46057692307692,-5.96057692307692,-2.98438644688645,-4.8415293040293,-0.69867216117216,-0.270100732600732,-4.98438644688645,4.72989926739927,6.37275641025641,1.30132783882784,5.70608974358974,11.8727564102564,6.72989926739927,-2.27010073260073,-0.984386446886446,-4.98438644688645,-1.69867216117216,-2.41295787545787,8.1584706959707,-2.69867216117216,0.872756410256411,3.58704212454212,2.58704212454212,1.53942307692308,2.53942307692308,-3.55581501831502,0.444184981684982,-2.92724358974359,-2.12724358974359,0.444184981684982,-0.127243589743589,-0.841529304029303,0.158470695970697,9.87275641025641,-0.127243589743589,3.01561355311355,1.20608974358974,-0.841529304029303,5.58704212454212,1.12275641025641,0.729899267399269,-0.127243589743589,-3.52724358974359,-4.79391025641026,-0.270100732600732,-0.127243589743589,-2.69867216117216,-1.98438644688645,-3.98438644688645,-2.8415293040293
"S. ROCCO",10.5068681318681,18.9354395604396,0.0782967032967044,-1.9217032967033,-5.20741758241758,-7.49313186813187,5.50686813186813,-1.63598901098901,-5.49313186813187,1.93543956043956,26.6497252747253,24.0068681318681,-3.63598901098901,2.0782967032967,-1.9217032967033,-11.7788461538462,-6.35027472527473,-14.4931318681319,-7.35027472527473,-15.4931318681319,-6.06456043956044,-11.9931318681319,-4.49313186813187,-0.778846153846153,-5.77884615384615,-7.63598901098901,-4.29313186813187,-13.3502747252747,-6.49313186813187,-8.8264652014652,-10.7788461538462,-6.49313186813187,-11.4931318681319,-11.6597985347985,1.0782967032967,-8.77884615384615,-5.9217032967033,4.30686813186813,9.36401098901099,7.0782967032967,18.2211538461538,10.7925824175824,-1.20741758241758,36.9354395604396,3.0782967032967,-10.3502747252747,11.364010989011,16.9354395604396,-10.635989010989,13.9354395604396,8.0782967032967,-1.06456043956044
"TIMAVO",10.9558608058608,18.8701465201465,-1.55842490842491,-1.41556776556777,-5.8441391941392,-8.41556776556777,8.29871794871795,1.48919413919414,-4.41556776556777,3.44157509157509,32.0130036630037,29.8225274725275,-2.70128205128205,5.01300366300366,-1.12985347985348,-14.1298534798535,-5.27271062271062,-16.5584249084249,-9.70128205128205,-19.7012820512821,-5.41556776556777,-14.2727106227106,-5.27271062271062,-4.8441391941392,-6.98699633699634,-9.27271062271062,-6.8441391941392,-15.5584249084249,-7.98699633699634,-11.1298534798535,-9.70128205128205,-8.98699633699634,-13.9869963369963,-10.8441391941392,-2.8441391941392,-7.55842490842491,-10.4155677655678,8.87014652014652,4.82252747252747,1.58443223443224,18.0130036630037,15.5844322344322,-2.98699633699634,33.2987179487179,4.87014652014652,-6.55842490842491,15.0130036630037,20.5844322344322,-7.8441391941392,17.298717948718,10.4415750915751,-0.12985347985348
"REMESINA",12.3278388278388,21.0992673992674,5.0992673992674,4.67069597069597,-3.04358974358975,-6.32930402930403,8.0992673992674,1.38498168498169,-2.18644688644689,2.0992673992674,32.5278388278388,23.670695970696,-0.615018315018315,0.384981684981685,-4.75787545787546,-10.1864468864469,-8.75787545787546,-14.329304029304,-10.6150183150183,-15.4721611721612,-9.75787545787546,-13.7578754578755,-8.32930402930403,-6.47216117216117,-7.04358974358975,-10.4721611721612,-11.0435897435897,-16.0435897435897,-10.329304029304,-11.6150183150183,-11.1864468864469,-10.1864468864469,-12.7578754578755,-12.1388278388278,-7.04358974358975,-11.0435897435897,-10.329304029304,1.81355311355311,2.24212454212454,1.36117216117216,16.8611721611722,22.3278388278388,2.81355311355311,39.5278388278388,-0.757875457875457,-7.47216117216117,21.9564102564103,20.670695970696,-9.32930402930403,20.8135531135531,8.95641025641026,2.6945054945055
"PARCO FERRARI",13.1580586080586,13.6723443223443,3.95805860805861,0.52948717948718,-2.47051282051282,-6.47051282051282,8.81520146520146,5.10091575091575,-3.04194139194139,2.52948717948718,24.6723443223443,25.6723443223443,-3.18479853479854,3.52948717948718,-4.47051282051282,-11.7562271062271,-4.89908424908425,-13.4705128205128,-10.0419413919414,-15.8990842490843,-5.89908424908425,-13.3276556776557,-8.18479853479854,-4.47051282051282,-8.18479853479854,-8.61336996336997,-8.75622710622711,-14.1847985347985,-8.89908424908425,-12.8990842490843,-13.1847985347985,-11.1847985347985,-12.61336996337,-11.7562271062271,-6.37527472527472,-7.89908424908425,-9.04194139194139,5.24377289377289,6.55805860805861,1.81520146520146,18.6723443223443,13.6723443223443,0.52948717948718,28.38663003663,3.10091575091575,-3.61336996336997,15.6723443223443,24.6723443223443,-6.61336996336997,16.38663003663,11.9580586080586,3.10091575091575
"SAN FRANCESCO",12.4779304029304,10.849358974359,3.70650183150183,-4.43635531135531,-0.722069597069599,-1.7220695970696,8.2779304029304,8.56364468864469,-5.15064102564103,-1.7220695970696,16.4207875457875,16.1350732600733,-3.15064102564103,0.706501831501829,-2.7220695970696,-10.2934981684982,-9.00778388278388,-14.2934981684982,-10.0077838827839,-14.5792124542125,-3.00778388278388,-11.7220695970696,-7.7220695970696,-4.57921245421246,-8.00778388278388,-7.86492673992674,-5.7220695970696,-13.7220695970696,-8.15064102564103,-8.86492673992674,-9.7220695970696,-10.7220695970696,-13.7220695970696,-10.8887362637363,-5.29349816849817,-8.15064102564103,-7.15064102564103,9.99221611721612,-0.579212454212456,-3.15064102564103,25.849358974359,14.7065018315018,-3.00778388278388,20.1350732600733,-1.15064102564103,-0.293498168498171,18.2779304029304,23.7065018315018,0.992216117216117,15.9922161172161,20.0779304029304,4.13507326007326
"GAVELLO",13.5511904761905,25.8940476190476,1.46547619047619,2.32261904761905,-2.84880952380952,-5.91547619047619,4.1797619047619,-0.820238095238096,-2.67738095238095,1.46547619047619,31.8940476190476,20.4654761904762,-1.67738095238095,5.32261904761905,-5.24880952380952,-9.96309523809524,-6.24880952380952,-9.91547619047619,-7.91547619047619,-14.3916666666667,-5.24880952380952,-13.0821428571429,-1.53452380952381,-0.391666666666666,-6.67738095238095,-8.24880952380952,-8.53452380952381,-13.9630952380952,-8.53452380952381,-10.8202380952381,-11.1059523809524,-8.96309523809524,-10.9630952380952,-9.41547619047619,-5.8202380952381,-9.10595238095238,-11.2488095238095,3.91785714285714,2.75119047619048,-0.248809523809523,13.7511904761905,11.1797619047619,-0.391666666666666,39.4654761904762,-0.248809523809523,-9.10595238095238,10.322619047619,16.1797619047619,-10.3916666666667,14.6083333333333,9.46547619047619,3.46547619047619
"PARCO EDILCARANI",13.9481684981685,10.9767399267399,4.26245421245421,-5.30897435897436,-0.451831501831503,-4.4518315018315,7.26245421245421,8.11959706959707,-5.30897435897436,-0.308974358974361,11.9481684981685,14.1481684981685,-1.88040293040293,4.83388278388278,-3.16611721611722,-10.4518315018315,-5.4518315018315,-13.7375457875458,-10.0232600732601,-13.7375457875458,-2.4518315018315,-12.3089743589744,-7.73754578754579,-5.11849816849817,-7.4518315018315,-7.4518315018315,-7.4518315018315,-13.4518315018315,-7.9518315018315,-10.7375457875458,-10.8804029304029,-11.4518315018315,-11.1661172161172,-11.0232600732601,-5.61849816849817,-8.73754578754579,-8.73754578754579,10.5481684981685,-0.308974358974361,-1.73754578754579,26.1195970695971,12.5481684981685,-4.59468864468865,18.6910256410256,1.40531135531135,-1.88040293040293,17.1195970695971,26.2624542124542,0.262454212454212,18.4053113553114,18.6910256410256,6.97673992673992
"LUGAGNANO",6.86309523809524,16.8630952380952,2.00595238095238,1.00595238095238,3.86309523809524,-2.27976190476191,9.43452380952381,4.00595238095238,-0.422619047619047,4.29166666666666,15.2916666666667,8.72023809523809,-2.13690476190476,4.29166666666666,2.43452380952381,-7.56547619047619,-7.56547619047619,-12.5654761904762,-7.99404761904762,-9.42261904761905,-5.27976190476191,-10.9940476190476,-6.56547619047619,-2.99404761904762,-5.42261904761905,-6.70833333333333,-6.99404761904762,-10.1369047619048,-5.70833333333333,-9.85119047619048,-9.42261904761905,-5.85119047619048,-9.27976190476191,-7.27976190476191,-2.99404761904762,-6.42261904761905,-7.13690476190476,2.69642857142857,2.72023809523809,-2.13690476190476,7.72023809523809,5.29166666666666,-3.27976190476191,17.0059523809524,-0.99404761904762,-5.13690476190476,18.0059523809524,16.0059523809524,-0.851190476190478,15.1488095238095,9.29166666666666,8.43452380952381
"CENO",7.68099816849817,21.7667124542125,-0.519001831501832,4.62385531135531,-2.23328754578755,-6.11900183150183,17.8809981684982,2.9095695970696,-0.0904304029304051,2.48099816849817,26.338141025641,22.7667124542125,-3.35233516483516,3.62385531135531,0.909569597069595,-10.5190018315018,-12.3761446886447,-19.661858974359,-8.94757326007326,-15.2332875457875,-7.94757326007326,-15.3761446886447,-6.94757326007326,-2.23328754578755,-9.37614468864469,-7.94757326007326,-10.661858974359,-13.661858974359,-7.94757326007326,-13.661858974359,-12.0904304029304,-9.23328754578755,-15.8047161172161,-11.2332875457875,-4.51900183150183,-8.09043040293041,-7.26900183150183,4.33814102564102,7.19528388278388,5.14766483516483,17.1952838827839,9.33814102564102,-3.37614468864469,32.6238553113553,7.8143315018315,-6.51900183150183,18.0524267399267,23.0524267399267,-8.37614468864469,18.0524267399267,7.05242673992674,0.480998168498168
"GERBIDO",5.31776556776557,25.4177655677656,-6.2489010989011,5.91776556776557,-8.68223443223443,-6.653663003663,8.06062271062272,2.77490842490842,-0.225091575091572,3.06062271062272,31.0606227106227,24.4891941391941,-4.68223443223443,6.06062271062272,-0.367948717948714,-6.51080586080586,-9.79652014652014,-20.5108058608059,-6.51080586080586,-12.7965201465201,-5.36794871794871,-15.7965201465201,-7.08223443223443,-4.88223443223443,-7.36794871794871,-7.51080586080586,-6.48223443223443,-15.2822344322344,-4.7489010989011,-14.9393772893773,-12.653663003663,-9.93937728937729,-16.3679487179487,-12.3679487179487,-5.08223443223443,-9.51080586080586,-7.79652014652014,5.25109890109891,7.48919413919414,5.346336996337,17.346336996337,13.2510989010989,-2.51080586080586,33.9177655677656,6.346336996337,-7.08223443223443,17.2034798534799,22.6320512820513,-9.08223443223443,16.7749084249084,6.91776556776557,0.203479853479855
"GIORDANI-FARNESE",4.58379120879121,19.5837912087912,-2.70192307692308,0.298076923076923,-2.55906593406593,-7.27335164835165,8.01236263736264,1.01236263736264,-3.41620879120879,2.41712454212454,22.1552197802198,18.7266483516484,-5.41620879120879,4.86950549450549,0.440934065934066,-6.55906593406593,-13.4162087912088,-19.1304945054945,-8.24954212454212,-5.41620879120879,-3.84478021978022,-12.2733516483516,-3.84478021978022,-6.98763736263736,-7.98763736263736,-8.58287545787546,-8.66620879120879,-13.6662087912088,-11.2733516483516,-15.9876373626374,-14.5590659340659,-10.7019230769231,-16.1304945054945,-11.0828754578755,-5.13049450549451,-8.98763736263736,-4.91620879120879,6.58379120879121,7.58379120879121,6.91712454212454,20.8695054945055,12.1552197802198,-1.84478021978022,37.4409340659341,6.29807692307692,-6.84478021978022,20.2980769230769,24.5837912087912,-6.13049450549451,17.4409340659341,9.58379120879121,1.72664835164835
